TableName;ApproxRowCount;CreatedDate;ColumnCount
T_HistoryEKStaffel;LiefArtNr;9;nvarchar;100;;YES
T_HistoryEKStaffel;LiefArtBez;10;nvarchar;100;;YES
T_HistoryEKStaffel;Add_User;11;nvarchar;50;;NO
T_HistoryEKStaffel;Add_Date;12;datetime;;;NO
T_HistoryEKStaffel;Upd_User;13;nvarchar;50;;YES
T_HistoryEKStaffel;Upd_Date;14;datetime;;;YES
T_HistoryEKStaffel;FWEKPreisStaffel;15;float;;53;YES
T_HistoryEKStaffel;KursFW;16;float;;53;YES
T_HistoryEKStaffel;KursDatum;17;datetime;;;YES
T_HistoryEKStaffel;LieferZeit;18;float;;53;YES
T_HistoryProduktiondatenDetails;IdHistoryProduktiondatenDetails;1;int;;10;NO
T_HistoryProduktiondatenDetails;Typ;2;int;;10;NO
T_HistoryProduktiondatenDetails;Menge;3;float;;53;NO
T_HistoryProduktiondatenDetails;Add_User;4;nvarchar;-1;;YES
T_HistoryProduktiondatenDetails;Add_Date;5;datetime;;;NO
T_HistoryProduktiondatenDetails;Upd_User;6;nvarchar;-1;;YES
T_HistoryProduktiondatenDetails;Upd_Date;7;datetime;;;NO
T_HistoryProduktiondatenDetails;ProductionData_HistoryProductionDataId;8;int;;10;YES
T_HistoryProduktionsdaten;IdHistoryProduktionsdaten;1;int;;10;NO
T_HistoryProduktionsdaten;IdMaschine;2;int;;10;NO
T_HistoryProduktionsdaten;Produktionslos;3;int;;10;NO
T_HistoryProduktionsdaten;Startzeit;4;datetime;;;NO
T_HistoryProduktionsdaten;Endzeit;5;datetime;;;NO
T_HistoryProduktionsdaten;Zyklus;6;float;;53;NO
T_HistoryProduktionsdaten;ArtikelGewicht;7;float;;53;NO
T_HistoryProduktionsdaten;Add_User;8;nvarchar;-1;;YES
T_HistoryProduktionsdaten;Add_Date;9;datetime;;;NO
T_HistoryProduktionsdaten;Upd_User;10;nvarchar;-1;;YES
T_HistoryProduktionsdaten;Upd_Date;11;datetime;;;NO
T_HistoryProduktionsdaten;Nestzahl;12;int;;10;NO
T_HistoryStillstandsereignis;IdHistoryStillstandsereignis;1;int;;10;NO
T_HistoryStillstandsereignis;IdMaschine;2;int;;10;NO
T_HistoryStillstandsereignis;IdStillstandsGrund;3;int;;10;NO
T_HistoryStillstandsereignis;IdFehlermerkmal;4;int;;10;NO
T_HistoryStillstandsereignis;Startzeit;5;datetime;;;NO
T_HistoryStillstandsereignis;Endzeit;6;datetime;;;NO
T_HistoryStillstandsereignis;Bemerkung;7;nvarchar;-1;;YES
T_HistoryStillstandsereignis;Add_User;8;nvarchar;-1;;YES
T_HistoryStillstandsereignis;Add_Date;9;datetime;;;NO
T_HistoryStillstandsereignis;Upd_User;10;nvarchar;-1;;YES
T_HistoryStillstandsereignis;Upd_Date;11;datetime;;;NO
T_HistoryTransportkosten;IdHistoryTransportkosten;1;int;;10;NO
T_HistoryTransportkosten;IdLieferadresse;2;int;;10;NO
T_HistoryTransportkosten;IdSpediteuradresse;3;int;;10;NO
T_HistoryTransportkosten;IdLKWTyp;4;int;;10;NO
T_HistoryTransportkosten;GueltigabDatum;5;datetime;;;NO
T_HistoryTransportkosten;Einzelfahrtkosten;6;float;;53;NO
T_HistoryTransportkosten;Rundfahrtkosten;7;float;;53;NO
T_HistoryTransportkosten;EinzelfahrtkostenProKubikmeter;8;float;;53;NO
T_HistoryTransportkosten;RundfahrtkostenProKubikmeter;9;float;;53;NO
T_HistoryTransportkosten;Standard;10;int;;10;NO
T_HistoryTransportkosten;Aktiv;11;int;;10;NO
T_HistoryTransportkosten;Add_User;12;nvarchar;50;;NO
T_HistoryTransportkosten;Add_Date;13;datetime;;;NO
T_HistoryTransportkosten;Upd_User;14;nvarchar;50;;YES
T_HistoryTransportkosten;Upd_Date;15;datetime;;;YES
T_HistoryTransportkosten;FWEinzelfahrtkosten;16;float;;53;NO
T_HistoryTransportkosten;FWRundfahrtkosten;17;float;;53;NO
T_HistoryTransportkosten;FWEinzelfahrtkostenProKubikmeter;18;float;;53;NO
T_HistoryTransportkosten;FWRundfahrtkostenProKubikmeter;19;float;;53;NO
T_HistoryVK;IdHistoryVK;1;int;;10;NO
T_HistoryVK;IdArtikelvarianten;2;int;;10;NO
T_HistoryVK;IdAdressen;3;int;;10;YES
T_HistoryVK;GueltigabDatum;4;datetime;;;NO
T_HistoryVK;VKPreis;5;float;;53;NO
T_HistoryVK;QuoteNeutral;6;float;;53;YES
T_HistoryVK;QuoteFarbe;7;float;;53;YES
T_HistoryVK;QuoteZusatz1;8;float;;53;YES
T_HistoryVK;QuoteZusatz2;9;float;;53;YES
T_HistoryVK;Quotenpreis;10;float;;53;NO
T_HistoryVK;Etiketten;11;float;;53;YES
T_HistoryVK;DekoAufbringung;12;float;;53;YES
T_HistoryVK;Diverses1;13;float;;53;YES
T_HistoryVK;Div1Text;14;nvarchar;50;;YES
T_HistoryVK;Diverses2;15;float;;53;YES
T_HistoryVK;Div2Text;16;nvarchar;50;;YES
T_HistoryVK;AmoAnteil;17;float;;53;YES
T_HistoryVK;MPB;18;float;;53;YES
T_HistoryVK;Bemerkung;19;nvarchar;255;;YES
T_HistoryVK;Add_User;20;nvarchar;50;;YES
T_HistoryVK;Add_Date;21;datetime;;;YES
T_HistoryVK;Upd_User;22;nvarchar;50;;YES
T_HistoryVK;Upd_Date;23;datetime;;;YES
T_HistoryVK;FWVKPreis;24;float;;53;NO
T_HistoryVK;FWMPB;25;float;;53;YES
T_HistoryVK;FWFDF;26;float;;53;YES
T_HistoryVK;Aufbringung;27;float;;53;YES
T_HistoryVK;FWAufbringung;28;float;;53;YES
T_HistoryVK;Deko;29;float;;53;YES
