TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE;ORDINAL_POSITION
dbo;T_BestellPositionenBewertungen;Add_User;nvarchar;50;NO;7
dbo;T_BestellPositionenBewertungen;Add_Date;datetime;NULL;NO;8
dbo;T_BestellPositionenBewertungen;Upd_User;nvarchar;50;YES;9
dbo;T_BestellPositionenBewertungen;Upd_Date;datetime;NULL;YES;10
dbo;T_BestellPositionenBewertungen;BestellPositionBewertung;float;NULL;NO;11
dbo;T_Bestellung;IdBestellung;int;NULL;NO;1
dbo;T_Bestellung;IdLieferant;int;NULL;NO;2
dbo;T_Bestellung;IdArtikelVarianten;int;NULL;NO;3
dbo;T_Bestellung;BestellDatum;datetime;NULL;NO;4
dbo;T_Bestellung;Lieferdatum;datetime;NULL;NO;5
dbo;T_Bestellung;BestellMenge;float;NULL;NO;6
dbo;T_Bestellung;Bezeichnung;nvarchar;100;NO;7
dbo;T_Bestellung;Add_User;nvarchar;50;NO;8
dbo;T_Bestellung;Add_Date;datetime;NULL;NO;9
dbo;T_Bestellung;Upd_User;nvarchar;50;YES;10
dbo;T_Bestellung;Upd_Date;datetime;NULL;YES;11
dbo;T_Bestellung;IdMengeneinheit;int;NULL;YES;12
dbo;T_Bestellung;IdPreisLogik;int;NULL;YES;13
dbo;T_Bestellung;IdPreisEinheit;int;NULL;YES;14
dbo;T_Bestellung;PreisProEinheit;float;NULL;YES;15
dbo;T_Bestellung;IdVpkVorschrift;int;NULL;YES;16
dbo;T_Bestellung;VpkVorschriftBez;nvarchar;100;NO;17
dbo;T_Bestellung;MengeProVpk;float;NULL;YES;18
dbo;T_Bestellung;Bestellt;int;NULL;YES;19
dbo;T_Bestellung;IdArtikeltyp;int;NULL;YES;20
dbo;T_Bestellung;IdArtikelvariantenTyp;int;NULL;YES;21
dbo;T_Bestellung;IdRahmenBestellungPosition;int;NULL;YES;22
dbo;T_Bestellung;IdJournal;int;NULL;YES;23
dbo;T_Bestellungen;IdBestellung;int;NULL;NO;1
dbo;T_Bestellungen;IdLieferant;int;NULL;NO;2
